File	Well	Sample	Cq
20211112_980559_PostDnase_AW.rdml	A12	TG1074530	17.5958389757501
20211112_980559_PostDnase_AW.rdml	B03	TG1074533	20.1641275305782
20211112_980559_PostDnase_AW.rdml	B02	TG1074532	23.7743088259872
20211112_980559_PostDnase_AW.rdml	B05	TG1074535	NaN
20211112_980559_PostDnase_AW.rdml	B04	TG1074534	28.3181670766872
20211112_980559_PostDnase_AW.rdml	B07	TG1074537	NaN
20211112_980559_PostDnase_AW.rdml	B06	TG1074536	23.5113274627287
20211112_980559_PostDnase_AW.rdml	D12	TG1074566	25.3719735579262
20211112_980559_PostDnase_AW.rdml	E01	TG1074567	NaN
20211112_980559_PostDnase_AW.rdml	D10	TG1074564	19.3372745086845
20211112_980559_PostDnase_AW.rdml	D11	TG1074565	17.7343510157944
20211112_980559_PostDnase_AW.rdml	D08	TG1074562	NaN
20211112_980559_PostDnase_AW.rdml	D09	TG1074563	16.8921837352046
20211112_980559_PostDnase_AW.rdml	D06	TG1074560	17.0306408827441
20211112_980559_PostDnase_AW.rdml	D07	TG1074561	16.9034436956634
20211112_980559_PostDnase_AW.rdml	D04	TG1074558	18.7222352879382
20211112_980559_PostDnase_AW.rdml	D05	TG1074559	18.6322602667667
20211112_980559_PostDnase_AW.rdml	A01	TG1074519	NaN
20211112_980559_PostDnase_AW.rdml	A05	TG1074523	20.618021095142
20211112_980559_PostDnase_AW.rdml	A09	TG1074527	19.3790624369132
20211112_980559_PostDnase_AW.rdml	G05	TG1074595	19.062166488284
20211112_980559_PostDnase_AW.rdml	G04	TG1074594	NaN
20211112_980559_PostDnase_AW.rdml	G03	TG1074593	18.1323594755373
20211112_980559_PostDnase_AW.rdml	G02	TG1074592	20.8343466387254
20211112_980559_PostDnase_AW.rdml	G01	TG1074591	19.4817711856823
20211112_980559_PostDnase_AW.rdml	F12	TG1074590	13.7518696348099
20211112_980559_PostDnase_AW.rdml	F11	TG1074589	23.867904037806
20211112_980559_PostDnase_AW.rdml	F10	TG1074588	24.6697258010624
20211112_980559_PostDnase_AW.rdml	G07	TG1074597	11.9153574728682
20211112_980559_PostDnase_AW.rdml	G06	TG1074596	24.7258479074924
20211112_981338_PostDnase_AW.rdml	B12	TG1079997	30.9655674506583
20211112_981338_PostDnase_AW.rdml	C01	TG1079998	21.1077292718524
20211112_981338_PostDnase_AW.rdml	C02	TG1079999	NaN
20211112_981338_PostDnase_AW.rdml	C03	TG1080000	23.8175512430372
20211112_981338_PostDnase_AW.rdml	B08	TG1079993	NaN
20211112_981338_PostDnase_AW.rdml	B09	TG1079994	30.0504367311595
20211112_981338_PostDnase_AW.rdml	B10	TG1079995	NaN
20211112_981338_PostDnase_AW.rdml	B11	TG1079996	22.6485925746616
20211112_981338_PostDnase_AW.rdml	C04	TG1080001	18.745289853088
20211112_981338_PostDnase_AW.rdml	C05	TG1080002	25.1204608980316
